Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,all_symptoms
Sinusitis,nasal_congestion,tinnitus,hearing_difficulty,blood_in_nasal_discharge,throat_irritation,white_patches_throat,loss_of_balance,loss_of_smell,"['nasal_congestion', 'tinnitus', 'hearing_difficulty', 'blood_in_nasal_discharge', 'throat_irritation', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,vertigo,recurrent_sinus_infections,swelling_ear_canal,swollen_lymph_nodes,throat_irritation,loss_of_balance,ear_tugging,loss_of_smell,"['vertigo', 'recurrent_sinus_infections', 'swelling_ear_canal', 'swollen_lymph_nodes', 'throat_irritation', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Tonsillitis,nasal_obstruction,runny_nose,sore_throat,thick_nasal_discharge,hearing_difficulty,fatigue,postnasal_drip,loss_of_smell,"['nasal_obstruction', 'runny_nose', 'sore_throat', 'thick_nasal_discharge', 'hearing_difficulty', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,ear_pain,difficulty_swallowing,hearing_loss,thick_nasal_discharge,irritability,fatigue,loss_of_balance,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'hearing_loss', 'thick_nasal_discharge', 'irritability', 'fatigue', 'loss_of_balance', 'loss_of_smell']"
Otitis Media,nasal_congestion,buzzing_in_ears,swelling_ear_canal,facial_pain,nausea,loss_of_balance,itchy_throat,loss_of_smell,"['nasal_congestion', 'buzzing_in_ears', 'swelling_ear_canal', 'facial_pain', 'nausea', 'loss_of_balance', 'itchy_throat', 'loss_of_smell']"
Epistaxis,ear_pain,loss_of_voice,itchy_nose,swollen_lymph_nodes,nausea,white_patches_throat,loss_of_balance,loss_of_smell,"['ear_pain', 'loss_of_voice', 'itchy_nose', 'swollen_lymph_nodes', 'nausea', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,ear_itching,loss_of_voice,hearing_difficulty,ear_fullness,red_tonsils,redness_ear_canal,itchy_throat,loss_of_smell,"['ear_itching', 'loss_of_voice', 'hearing_difficulty', 'ear_fullness', 'red_tonsils', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Deviated Septum,nosebleeds,ear_pain,headache,blood_in_nasal_discharge,snoring,postnasal_drip,loss_of_balance,loss_of_smell,"['nosebleeds', 'ear_pain', 'headache', 'blood_in_nasal_discharge', 'snoring', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Epistaxis,sore_throat,crusting_in_nose,hearing_difficulty,pus_discharge,nasal_congestion,breathing_difficulty,loss_of_balance,loss_of_smell,"['sore_throat', 'crusting_in_nose', 'hearing_difficulty', 'pus_discharge', 'nasal_congestion', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,nasal_obstruction,fever,itchy_nose,fluid_discharge,snoring,loss_of_balance,ear_tugging,loss_of_smell,"['nasal_obstruction', 'fever', 'itchy_nose', 'fluid_discharge', 'snoring', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
